,"<p>Pakistan's Minister for Human Rights Shireen Mazari has said that the Pakistan Tehreek-e-Insaf (PTI) government in Islamabad is preparing a proposal to resolve the Kashmir conflict and will present it to the cabinet ministers.<br><br>""The Pakistan Tehreek-e-Insaf government will prepare a proposal on resolving the Kashmir conflict within one week and present it in the cabinet. They will also discuss the issue with other stakeholders. The proposal is almost ready and we hope that it is considered soon,"" said Mazari.<br><br>Before her current position in the government, Mazari was the director general of the Institute of Strategic Studies, a think tank on defence and security issues, and also served as a professor in Quaid-e-Azam University, Islamabad.<br><br>External Affairs Minister (EAM) Sushma Swaraj is also likely to meet her Pakistani counterpart Shah Mehmood Qureshi on the sidelines of the United Nations General Assembly's (UNGA) in New York next month.<br><br>In his first speech after winning the July 25 general elections, Pakistan Prime Minister Imran Khan had said that Pakistan is ready to improve its ties with India and the blame game between the two neighbours, detrimental to the sub-continent, should come to a stop.<br><br>“If they take one step towards us, we will take two, but at least (we) need a start,” Khan had said in his first public address.<br><br>Khan also said that he was very disappointed with the Indian media which had projected him like a ""Bollywood villain"" in recent weeks.<br><br>Experts, however, have pointed out that there is very little possibility of any improvement in New Delhi's ties with Islamabad under Imran Khan as he has been ""propped"" by the Pakistani military.<br><br>The India-Pakistan ties nose-dived in recent years with no bilateral talks taking place.<br><br>The ties between the two countries had strained after the terror attacks by Pakistan-based groups in 2016 and India's surgical strikes inside Pakistan-occupied Kashmir. The sentencing of alleged Indian spy Kulbhushan Jadhav to death by a military court in April last year further deteriorated bilateral ties.<br><br>The two sides often accuse each other of ceasefire violations along the Line of Control, resulting in civilian casualties.​</p>","Imran Khan Govt 'Almost Ready' with Kashmir Plan, Says Pakistan Minister"
,"<p>The United States cannot guarantee that it will provide India a waiver from sanctions if it purchases major weapon and defence systems from Russia, a top Pentagon official said on Wednesday, ahead of a high-level dialogue between Washington and New Delhi. The United States has imposed sweeping sanctions on Russia, under which any country engaged with its defence and intelligence sectors could face secondary US sanctions. However, a new defence bill gives the president the authority to grant waivers in case of national security interests.<br><br>Randall Schriver, the Pentagon’s top Asia official, said there was an “impression that we are going to completely protect the India relationship, insulate India from any fallout from this legislation no matter what they do”. Media reports from the region have suggested that India would get a waiver.<br><br>“I would say that is a bit misleading. We would still have very significant concerns if India pursued major new platforms and systems (from Russia),” Schriver said at a think tank event. “I can’t sit here and tell you that they would be exempt, that we would use that waiver, that will be the decision of the president if he is faced with a major new platform and capability that India has acquired from Russia,” he added.<br><br>The Indian embassy in Washington did not immediately respond to a request for comment. US Defence Secretary Jim Mattis has publicly been a strong proponent of granting India waivers. The United States is concerned about India’s planned purchase of Russian S-400 surface-to-air missile systems, Schriver said. Russia has said it expects to sign a deal with India later this year on the sale.<br><br>On Tuesday, Mattis said the United States was also concerned about Turkey’s purchase of the Russian missile defense system, which cannot be integrated into NATO. Schriver said the United States was willing to talk to India about potential alternatives.<br><br>Senior US officials are expected to go to India next week for high-level talks, agreed upon by US President Donald Trump and Indian Prime Minister Narendra Modi last year. The meeting was originally planned for April but was postponed after Trump fired Rex Tillerson as secretary of state. Washington put off the meeting for a second time in June.</p>","India not guaranteed US sanctions waiver for Russian missiles, says Pentagon official"
,"<p>As the indigenous Airborne Early Warning and Control System (AEW&amp;CS)—aircraft fitted with a radar system—flew over the Rajpath during the 2017 Republic Day parade, India joined an elite group of five countries that had this capability. But, before it could be formally inducted into the Air Force fleet, the ‘Eye in the Sky’ has flown into turbulence.<br><br>A report by the Comptroller and Auditor General, which was recently tabled in Parliament, has made startling observations about the programme, on which the Defence Research and Development Organisation has spent more than Rs 2,500 crore.<br><br>The CAG report showed irregularities in the selection of aircraft for the programme. The auditor slammed the DRDO for the cost overrun—the initial cost was Rs 1,800 crore—and its claims about indigenousness. Moreover, preferred vendors were selected to benefit certain companies, said the report. Though the Air Force had accepted the AEW&amp;CS last year, it is yet to get the final operational clearance.<br><br>The AEW&amp;CS is a moving surveillance platform, making it difficult for the enemy to locate the exact position of the aircraft. With its long range and detection capabilities, it gives a 360 degree view of the sky and can track many aircraft simultaneously.<br><br>China currently has 20 such airborne warning systems, while Pakistan has eight. The Indian Air Force has only three—Israeli Phalcon radar systems mounted on Russian IL-76 aircraft. India had bought the radar systems from Israel in 2004. According to experts, India currently does not have the capability to cover its entire airspace during a war.<br><br>A programme to develop an indigenous early warning system was taken up in 1994, but was shut down after a fatal crash. Subsequently, the defence ministry in 1999 approved the import of three airborne warning systems (the ones from Israel) and decided to meet further requirement through indigenous development.<br><br>In October 2004, the cabinet committee on security approved indigenous development of AEW&amp;CS at a cost of Rs 1,800 crore. The deadline was April 2011. Under the project, two AEW&amp;CS were to be supplied to the Air Force. DRDO’s Bengaluru-based laboratory, Centre for Air Borne Systems (CABS), was the nodal agency for design and development.<br><br>Considering the operational importance of this project, the CAG carried out an audit to know whether the system had everything that was promised. K. Subramaniam, principal director of audit, Air Force, recently sent the classified report to Dr S. Christopher, the then secretary of the Department of Defence Research and Development—which found serious irregularities in the programme.<br><br>The report has come down heavily on the programme over its claim of indigenousness. Despite the project being called home made, it was only 48 per cent indigenous. The DRDO had claimed it to be 81 per cent. And, the cost of foreign consultancy, about Rs 106 crore, was categorised as indigenous.<br><br>The CAG’s observations draw strength from the ongoing CBI investigation into alleged kickbacks in the process of selecting the aircraft. The Embraer EMB-145 aircraft from Brazil was shortlisted for the project in 2007. However, Brazilian media reported that Indian officials were bribed to swing the deal in Embraer’s favour. In 2016, the CBI registered a case against NRI arms dealer Vipin Khanna and two private companies based abroad. The case was about the alleged payment of more than $5.70 million as kickbacks to seal the deal for the aircraft.<br><br>The CAG report also pointed out inadequacies in management, which stretched the development period to 13 years. “And, the operational requirements, instead of being based on the functional needs of the Air Force, were being adjusted according to the aircraft that was ‘pre-selected’. It took seven years to finalise the operational requirements,” said the report.<br><br>During the design and development stage, some operational parameters were compromised because of the Embraer’s limitations. Also, there was no competitive bidding while selecting the aircraft. The Embraer was shortlisted through a nomination. Notably, several aircraft, such as the IL-76, and models from Gulfstream, Bombardier and Boeing were available at the time.<br><br>“The justification given for the selection of EMB-145 was not tenable,” the CAG observed. “No objective assessment of the merits and demerits of available options was done. The selection of EMB-145 was arbitrary and based on preconceived preference.”<br><br>Initial operational requirements stipulated that the system should be able to operate from high-altitude locations like Leh to have a much deeper view into the Chinese army’s activities. As the EMB-145 was incapable of doing so, claims the report, the Air Force had to drop this requirement in February 2006.<br><br>The report also said that the Air Force officials working with the DRDO reiterated that Embraer was not the suitable aircraft.<br><br>The CAG also criticised the project for the way the pilots were trained. “From the scrutiny of the expenditure on training, the audit found that the training commenced in June 2007. At this point, the procurement contract for EMB-145 was yet to be awarded and negotiations were underway between the CABS and M/s Embraer. Therefore, training of pilots on an aircraft even before finalising its purchase is highly unjustified,” CAG pointed out. Six pilots were trained abroad at a cost of Rs 23 crore.<br><br>Of the 18 requirements specified by the Air Force, AEW&amp;CS could not fully achieve ten important ones. Despite this, the Air Force accepted the first system in February 2017.<br><br>“Since EMB-145 was selected, the weight of the mission system had to be adjusted to the optimum payload capacity of EMB-145, which was 3,000kg. The radar along with its associated systems, which was to be mounted on the fuselage, had to be limited to 1,500 kilos due to structural limitations,” the CAG said.<br><br>The probable date of completion was revised four times and the final date of completion was extended by over six years, said the report. The Air Force kept changing its requirements. In the middle of the programme, the Air Force demanded air-to-air refuelling and a de-icing system. It led to a delay of nearly two years.<br><br>Christopher, who was the head of CABS, said the repeated modifications in the operational requirement by the Air Force played a major role in the delay of the project. “It is all recorded in official documents and no one can find fault with me for it,” he said. “However, I believe that operational requirements is a prerogative of the user and you, as a developer of the equipment, cannot challenge it.”<br><br>Regarding the aircraft, he said, “Embraer was a well-proven aircraft. The decision to buy Embraer was taken in consultation with the then IAF chief S. Krishnaswamy. Four countries were using this platform as AWACS—the generic term for such a system. Moreover, the IAF decided that it has to be a turbo jet, not propellant. Turbo engine gives them the desired speed and efficiency.”<br><br>When contacted, Krishnaswamy said the selection of aircraft was purely DRDO’s decision. “The IAF was using Embraer for its VVIP fleet and thought of commonality if it is selected for AEW&amp;CS. Since AEW&amp;CS was DRDO’s project and budget was allocated to them, the final decision for selecting aircraft was DRDO’s only,” he said, adding that any modification in the operational requirements was a collective decision of the Air Force and the DRDO. </p>",How a CAG report exposed DRDO's mishandling of AEW&CS programme
,"<p>If all goes as planned, India should be able to send its first manned mission to space by 2021, according to Dr K Sivan, ISRO Chairman.<br><br>At the curtain raiser of the Bengaluru Space Expo (BSX02018), Sivan said that there will be two unmanned flights before December 2021, one in December 2020 and another in June 2021. They have set a target of December 2021 for the launch so that they have some margin in case there are glitches, ""We will not miss the target set by PM Modi,"" he said.<br><br>But the entire responsibility will be with the Indian Air Force (IAF) who will select the men or women going to space in an Indian Orbital Module.<br><br>He says the IAF will select them based on certain criteria such as mental, physical, psychological aspects.<br><br>Even though the module can take three astronauts, a total of six will be selected and trained just in case any problem might arise.<br><br>ISRO has already begun informal discussions with the IAF on this and once the project is ready, formal discussions will also begin.<br><br>However, in order to maintain the tight schedule, ISRO will need to take foreign help in training its people.<br><br>Dr K Sivan says even though they have the IAFs Institute of Aerospace Medicine it will be used only for preliminary testing. For the actual training, they will be sent abroad since the required infrastructure will not be available and it will take around 2-3 years to train them.<br><br>The ISRO chairman said that the selected IAF personnel can be sent for training to countries like Germany, Russia and the USA once the modalities are worked out.<br><br>""Always taking others experience to our benefit is a wiser idea. In the process, I am not going to lose anything. We will be benefitted. So whatever benefit I am getting through international cooperation, definitely I am ready to take,"" Sivan said.</p>",Astronauts selected for India's first manned mission might be sent abroad for training
,"<p>Tests of the advanced version of the air-launched BrahMos missile for the Indian Air Force will be held before the end of this year, Alexander Maksichev, managing co-director of BrahMos Aerospace, told Sputnik on Wednesday.<br><br>""Before the end of this year, the air-launched cruise missile BrahMos will be tested taking into account the new, expanded demands of the Indian Air Force command. It will have advanced characteristics, including those related to maneuver capability,"" Maksichev said.<br><br>He added that drop tests had already been conducted, and the results were ""excellent.""<br><br>On Tuesday, BrahMos Aerospace spokesman Praveen Pathak told Sputnik that deliveries of the BrahMos missiles for the Indian Air Force's Su-30MKI fighters were expected to start in 2019.<br><br>The BrahMos missile is manufactured by BrahMos Aerospace, a joint venture between India's Defense Research and Development Organization and Russian military corporation NPO Mashinostroyenia.</p>",Tests Of Upgraded BrahMos Cruise Missile To Be Held Before End Of 2018
,"<p>The Indian army requires 3,000-4,000 artillery weaponry in the next 15 years, said Baba Kalyani, CMD of Bharat Forge.<br><br>The defence ministry has approved the purchase of 150 advanced towed artillery gun systems at a cost of over Rs 3,300 crores. ""This is a positive for Bharat Forge. There is the added tailwind of the new NAFTA agreement as well,"" he said.<br><br>""I think there will be many more opportunities that will come but this is a very good and a game-changing decision that the government has made,” he added.<br><br>Kalyani said that the company was aiming to become a global leader in artillery.<br><br>""In the next seven years, we want to be at the top of the league as far as artillery systems are concerned on a worldwide basis,” said Kalyani.<br><br>“In two to two and a half years, the order will get completed. This is a fully indigenous equipment, completely right from steel to forgings to machining to everything else, so hopefully we will do well,” said Kalyani.</p>","Bharat Forge expects orders for up to 4,000 guns from army; looks to become global player"
,"<p>Security forces are gearing up to launch an all-out war against Maoists in Malkangiri after the state government has made the newly constructed Gurupriya bridge functional.<br><br>“The rebels had turned this area into their stronghold, taking advantage of its inaccessibility. However, with construction of the bridge, the people inhabiting the 151 villages in this belt lying beyond the Balimela reservoir have been connected with the mainland. The bridge also gives us a distinct advantage in our war against the rebels. We are going to launch a decisive operation shortly,” said a senior police officer, requesting anonymity.<br><br>The 910-metre-long bridge had been planned in 1986 but could not be completed because of the reluctance of contractors, who feared Maoist attacks. After several failed attempts, the Rs 187.25-crore project had taken off in 2014 with two platoons of BSF standing guard at the site round the clock. Inaugurating the bridge on July 26, chief minister Naveen Patnaik called upon the rebels to give up violence and join the mainstream. “Violence is not the solution to anything. Peace is important for development,” he had said.<br><br>The region has been a Maoist stronghold since long. The rebels had ambushed and gunned down 32 elite Greyhound commandos of Andhra Pradesh police and a police constable in the Balimela reservoir while the jawans were returning from a combing operation in the “cut-off” area. The area had gained further notoriety in February 2011 when the Maoists abducted the then Malkangiri collector, R. Vineel Krishna, from the area.<br><br>Last year, the rebels had shot a boatman dead at the spillway ghat at Chitrakonda suspecting him to be a police informer. The Maoists, who had accused Shyam Pangi of ferrying food material for the BSF jawans deployed near the ghat, carried out the killing.<br><br>Malkangiri police superintendent Jagmohan Meena had trashed the allegations of the Maoists, asserting that the rebels were deliberately targeting poor people after branding them as “informers” to spread panic.</p>",War against Maoists stepped up
,"<p>Countering Congress and Rahul Gandhi's charges against Narendra Modi government on Rafale deal, Finance Minister Arun Jaitley today posed 15 questions to 'expose Congress party’s falsehood'. <br><br>Targeting Rahul Gandhi, Jaitley said it is expected from national political parties and its responsible leaders to keep themselves informed of the basic facts before they enter a public discourse on defence transactions. <br><br>""I am asking these questions as his misadventure is impairing national interest and I hope Rahul Gandhi and the Congress Party would respond immediately,"" Arun Jaitley said in a blog on Facebook. <br><br>He said the Congress Party and its leader Rahul Gandhi are guilty on three counts: Firstly, the UPA delayed the deal by over a decade comprising national security. <br><br>""Secondly, every fact raised by Rahul Gandhi and the Congress are completely false and thirdly the party just wants to further delay the defence procurement so that India’s defence preparedness suffers,"" he added. <br><br>Hitting out at Rahul Gandhi, Jaitley said Gandhi revised his figures several times: ""Gandhi quoted a price of Rs 700 crore per aircraft in Delhi and Karnataka in April and May this year. In Parliament, he reduced it to Rs 520 crore per aircraft, in Raipur he increased it to Rs 540 crore.""<br><br>He said that the Congress Party’s false campaign on Rafale aircraft deal based on peddled untruth has been casting a cloud on the Inter-Governmental agreement and seriously compromising national security. <br><br><br>Here is the complete post written by Arun Jaitley on his facebook account:<br><br><br>Why these questions ?<br>Considering the security environment around India, the highest standards of defence preparedness are required. After the Kargil experience, the Armed Forces and the Raksha Mantralaya were of the opinion that combat ability of the Indian Air Force to strike at targets needs to be radically improved. This need was first recorded by the Raksha Mantralaya in the year 2001.<br><br>Considerations of the national security demanded that the IAF has the best available aircraft with the appropriate weaponry loaded on it. In principle approval for acceptance of necessity of procurement of 126 replacement aircrafts was recorded by the Raksha Mantri way back on 1st June, 2001. After the UPA Government came into power, the Defence Acquisition Council (DAC) approved the Acceptance of Necessity (AoN) for procurement of 126 medium multi-role combat aircrafts. An aircraft without weaponry is of little use in a war. It is only a flying instrument. It adds to the combat strength of the forces only when it is loaded with the requisite weaponry, which enables it to strike targets. The UPA Government issued a request for proposal on 28th August, 2007 and found two vendors, viz., M/s Dassault Aviation and M/s EADS to be compliant to the RFP requirements. It took the UPA five more years to commence the negotiations and in January, 2012 the Contract Negotiation Committee (CNC) determined Dassault Aviation to be L1.<br><br>For reasons best known to the UPA Government, on 27th June, 2012, the deal was directed to be re-examined, which effectively meant that the entire eleven-year exercise was abandoned and the process was to be undertaken afresh. India’s squadron strength was depleting because of age. This slow and casual approach of the UPA Government seriously compromised national security requirements.<br><br><br>The NDA approach ::<br><br>On 10th April, 2015, the Government of India and the French Government issued a joint statement where India decided to procure 36 Rafale aircrafts from the French Government on terms better than the ones conveyed by Dassault in the L1 bid of 2007. The same was approved by the DAC on 13th May, 2015 and finally the agreement, after a detailed procedure, was signed on 23rd September, 2016.<br><br><br>The false campaign ::<br><br>A false campaign based on untruth has been launched by the Congress Party casting a cloud on the Inter-Governmental agreement. The principal arguments of this campaign are the following:<br>(i) The NDA Government paid higher price than what the UPA would have paid if the deal would have completed on the basis of the 2007 offer of Dassault.<br>(ii) Proper procedures such as negotiations by the Contract Negotiation Committee and approval of the Cabinet Committee on Security (CCS) were not obtained.<br>(iii) A private industrialist in India was favoured and the interest of public sector undertaking was compromised.<br><br>Each one of the above issues raised is based on complete falsehood. It is expected from national political parties and its responsible leaders to keep themselves informed of the basic facts before they enter a public discourse on defence transactions. The Congress Party and its leader, Shri Rahul Gandhi, are guilty on three counts:<br>(i) The UPA delayed the deal by over a decade and seriously compromised national security.<br>(ii) Every fact that Shri Rahul Gandhi and the Congress Party has spoken on pricing and procedure are completely false. <br>(iii) Its effort of raising these issues is to further delay a defence procurement so that India’s defence preparedness further suffers.<br><br><br>The questions --<br><br>I have, therefore, decided to ask the following questions to the Congress Party and its President. Needless to say that if replies are received in the public space or even if there is an issue diversion and no reply is received, I would be constrained to come out with further specific facts which establish truth as a victim of Shri Rahul Gandhi and his party merely peddling his falsehoods. Needless to say that I am constrained by the secrecy clause, which exists in the Contract and whatever I ask or respond to would be constrained by that limitation. My question to Shri Rahul Gandhi and his Party are as follows:<br><br><br>On Delay ::<br><br>(1) The UPA was a Government which suffered from a decision- making paralysis. Do you agree that the delay of over one decade was only on account of the incompetence and indecisiveness of the UPA Government?<br>(2) Did this delay seriously compromise national security? Is not the medium multi-role combat aircraft required by our forces to identify and strike at targets particularly when two of our neighbours have already enhanced their strength in this area?<br>(3) Was this delay and eventual abatement of the purchase by the UPA based on collateral considerations as had been witnessed in earlier transactions such as the purchase of the 155 mm Bofors gun?<br><br><br>Unsure of facts ::<br><br>(4) How is it that Shri Rahul Gandhi quoted a price of Rs.700 crores per aircraft in Delhi and Karnataka in April and May this year? In Parliament, he reduced it to Rs.520 crore per aircraft, in Raipur he increased it to Rs.540 crores; in Jaipur he used the two figures – Rs.520 crores and Rs.540 crores in the same speech. In Hyderabad, he invented a new price of Rs.526 crores. Truth has only one version, falsehood has many. Are these allegations being made without any familiarity with the facts of the Rafale purchase?<br>(5) Is Mr. Gandhi or the Congress Party aware of price comparison? Is Mr. Gandhi aware of the aircraft price, which was quoted in 2007 in the L1 bid? Is he aware that there was an escalation clause, which by 2015 when the NDA struck the price deal, would have further escalated the price? Would not the escalation clause have continued to escalate the price till each of the aircraft was supplied? Have the significant exchange rate variations between Rupee and Euro during the same period been considered?<br>(6) Is he aware of the fact that if the basic aircraft price on which UPA was to purchase the aircraft along with the escalation clause is compared at the price with the better terms on which the NDA Government signed the deal. The basic aircraft price itself is 9% cheaper under the NDA than it was under the UPA?<br>(7) Can Shri Rahul Gandhi deny that when the add-ons such as India-specific adaptations, weaponry, etc. are installed on the basic aircraft, the UPA price, which was mentioned in the 2007 L1 offer, would be at least 20% costlier than the more favourable price negotiated by the NDA?<br>(8) Can Shri Rahul Gandhi and the Congress Party deny if the total contract cost, that is, basic aircraft plus add-ons, including weaponry, etc., Indian adaptations plus future supplies and maintenance are all added, the NDA terms become far more favourable than the 2007 L1 offer?<br><br><br>Role of private industries ::<br><br>(9) Can Shri Rahul Gandhi and the Congress deny that the Government of India has no contract whatsoever with any private industry in relation with the Rafale aircraft supplies? In fact, 36 of the Rafale aircraft with their Indian adaptations are going to be sent to India and there is no manufacturing of these 36 aircrafts in India.<br>(10) Any Original Equipment Manufacturer (OEM) under the offset policy of the UPA can select any number of Indian partners, both from the private sector and the public sector, for offset supplies? This has nothing to do with the Government of India and, therefore, any private industry having benefitted from the Government of India is a complete lie. Can Shri Gandhi and his Party deny this?<br><br><br>On procedure :<br><br>(11) Are Shri Gandhi and his Party aware of the fact that there are two ways of acquiring a defence equipment, i.e., either by competitive bidding or by an Inter-Governmental Agreement?<br>(12) Can Mr. Gandhi and his Party deny that the UPA Government in 2007 itself had shortlisted the Rafale as technically- acceptable and L1 in price competition? <br>(13) Can Shri Gandhi and his Party deny that considering the urgency of the defence requirement, the Government of India and the French Government agreed to execute the supply of 36 Rafale aircrafts at terms better than the 2007 offer of the UPA?<br>(14) Can it be denied that both the Price Negotiation Committee and the Contract Negotiation Committee negotiated for 14 months before concluding the deal?<br>(15) Can it be denied that before the deal was executed, the Cabinet Committee on Security approved the transaction?<br>I am asking the above questions and I hope Shri Rahul Gandhi and the Congress Party would respond immediately.</p>",Arun Jaitley poses 15 questions to 'expose Congress party’s falsehood' on Rafale deal
,"<p>The port town of Trincomalee in Eastern Sri Lanka is known for its scenic beauty eminently  qualified to be featured in the National Geographic Channel.<br><br>But historically, it has been noted for something very different – its strategic value as a naval base.<br><br>Trincomalee’s  military value had been grasped by world powers from the time of the Portuguese in the 17 th.Century. The Dutch, British, French, Indians, Americans, and the Japanese have eyed it in succession.<br><br>As on date, India, US and Japan are making a beeline to Trincomalee  and trying to convince the Sri Lankan government to accept their presence in Sri Lanka’s interest,” citing a potential maritime security threat to it from expansionist China. This stems from the worry that China could threaten the present free and rule-based international maritime commerce in the Indo-Pacific region.”<br><br>In August , Trincomalee saw the USS Anchorage of the US Seventh Fleet with Marines on board drop anchor there to hold humanitarian” exercises with the Sri Lankan navy. Coinciding with the first ever visit by a Japanese Defense Minister to Sri Lanka (including Trincomalee), the Japanese sent a destroyer Ikazuchi  to berth there.<br><br>Asked why this is happening now, Sri Lanka’s leading maritime security expert, Adm.Dr.Jayanatha Colombage, said that with the Chinese exclusively ensconced in Hambantota port with a 70% stake and a 99 year lease on it, and having a container terminal at Colombo port also,  the only port of value still available in Sri Lanka is Trincomalee.<br><br><br>Trinco Port’s Advantages ::<br><br>Trincomalee port has many advantages, Adm. Colombage said. It has been universally recognized as one of the finest harbors in the world”. It was Admiral Nelson who said that for the first time in 1775 when he sailed into it from Madras as a young midshipman on board the Royal Navy frigate HMS Seahorse. Nelson was so enamored of Trincomalee that he named his last frigate Trincomalee.<br><br>Trincomalee port has a natural depth of 25 meters and does not have to be dredged. This is a huge advantage in comparison with Hambantota and Colombo ports,” Colombage said.<br><br>According to independent marine researcher, Howard Martenstyn, Trincomalee harbor with 2000 hectares, is ten times larger than Colombo harbor. During World War II, Trincomalee protected the British Seventh Fleet. This proved invaluable after the British lost their principal Asian naval base at Singapore in 1942.<br><br><br>Ideal for nuclear submarines ::<br><br>Trincomalee has immense significance in this age of nuclear weaponry and nuclear submarine-based missile systems also,  points out  Romesh Somasundaram, who has written on the strategic value of Trincomalee.  Given the depth of the harbor, nuclear submarines are able to dive low within the inner harbor,” he says.<br><br>Furthermore, Trincomalee has been functioning as naval base since colonial times. According to Martenstyn,  in the 18 th. Century, the British believed that from Trincomalee a strong naval force could secure control of India’s Coromandel Coast (the Tamil Nadu and Andhra Pradesh coastlines).<br><br>The Dutch had built a fort, and in the 20th. Century, the British built an airfield, a naval base, a naval dockyard  and also a huge oil storage facility with 101 giant oil tanks to supply both peacetime and wartime needs.<br><br>During World War II, the Japanese knew the role that Trincomalee was playing in the defense of British interests in Sri Lanka and the Bay of Bengal and bombarded it in 1942. Over 700 people were killed when carrier based Japanese aircraft struck in April 1942. Sri Lanka tasted its suicide attack when one of the Japanese bombers plunged into an oil tank setting it ablaze. The fire raged for a week melting the tank which had a one inch thick protective  steel wall.<br><br>Trincomalee is nearest to the countries on the shores of the  Bay of Bengal such as India (Southern and Eastern part of it),Bangladesh and Mynamar. Trincomalee commands the entrance to the Bay of Bengal which is now gaining economic and strategic importance with the entry of China as an economic power in Sri Lanka, Myanmar and Bangladesh, points out Adm.Colombage. Trincomalee rather than Hambantota is nearer  South East Asian ports ,he adds.<br><br>Somasundaram shows how a lot of Sri Lankan history revolved around control over Trincomalee. It was the Portuguese Admiral, Alfonso Albuquerque, who first saw the value of Trincomalee and made it part of his grand design of having bases in far flung areas to control the vast expanse of the Indian Ocean and protect Portugal’s maritime and imperial interests.<br><br>The Dutch took over Trincomalee from the Portuguese, beating the French to it though the latter had the sanction of the Kandyan King to possess Trincomalee. Subsequently, the British spent much time and energy seizing it from the Dutch.<br><br>In the 18th century, when the King of Kandy wanted to get rid of the oppressive Dutch, he sent word to the British in Madras  seeking help, and offering Trincomalee harbor as a bait.<br><br>Though the British wanted Trincomalee and sent emissary  John Pybus to the Kandyan court, they were reluctant to take on the Dutch because they were at peace with the Dutch in Europe at that time. This reticence led to bad relations between the Kandyan King and the British.<br><br>But by 1780, Britain itself was at war with Holland and also with the French. This time, every effort was made to seize Trincomalee from the Dutch.  When the British did seize Trincomalee, it became Britain’s first territorial possession in Sri Lanka.<br><br>Interestingly, Trincomalee was also the last place in the island they gave up. Although the British gave independence to Sri Lanka in 1948, they held on to the RAF base in Katunayake and the Royal Navy base in Trincomalee till 1957. The nationalist government of SWRD Bandaranaike had asked them to leave.<br><br><br>India Enters ::<br><br>By 1954, India was beginning to show an interest in Ceylon, albeit very tentatively. Somasundaram quotes an early Indian strategic thinker, R.R. Ramachandra Rao, as saying as early as in  1954, that India has very real interest in ensuring that no hostile power should establish itself in Ceylon (Sri Lanka)”.<br><br>More pointedly, Ramachandran Rao said: ” Foreign airstrips and naval control of Trincomalee would unbearably expose the Indian peninsula to air and sea bombardment and assault along her extensive coasts. Ceylon is within Indian defense area, at the very heart center of the Indian Ocean defense.”<br><br>In the 1980s, India feared encirclement by hostile forces. It had contradictions with China and the US, besides Pakistan. India feared that the pro-Western J.R. Jayewardene (JR) regime would soon make Sri Lanka a part of the anti-Indian Western alliance. India’s support for the minority Tamils in the island had alienated JR” from India.<br><br>To add to India’s fears, in 1985, JR  reminded British Prime Minister Margaret Thatcher that the Defense pact the British had signed with Sri Lanka in 1947 was still there, not having been abrogated formally.<br><br>These were among other reasons why India appended to the India-Sri Lanka accord of July 1987, an Exchange of Letters between President JR Jayewardene and Prime Minister Rajiv Gandhi which mentioned Trincomalee.<br><br>Through the letters, the two leaders agreed that: (1) Trincomalee or any other port of Sri Lanka, will not be made available for military use by any country in a manner prejudicial to India’s interests. (2) the work of restoring and operating the Trincomalee oil tank farm will be undertaken as a joint venture between India and Sri Lanka.<br><br>However, the tanks were handed over to India only in 2003 in exchange for supporting the Norwegian-brokered peace process in Sri Lanka to end the war with the separatist Tamil militants.<br><br>India has now been offered to chance to join Japan in developing the Trincomalee harbor and partner Singapore and Japan in developing the hinterland as an Economic Zone.</p>","Why are the US, Japan and India making a beeline for Trincomalee?"
images,article,title
,"<p>Security forces are gearing up to launch an all-out war against Maoists in Malkangiri after the state government has made the newly constructed Gurupriya bridge functional.<br><br>“The rebels had turned this area into their stronghold, taking advantage of its inaccessibility. However, with construction of the bridge, the people inhabiting the 151 villages in this belt lying beyond the Balimela reservoir have been connected with the mainland. The bridge also gives us a distinct advantage in our war against the rebels. We are going to launch a decisive operation shortly,” said a senior police officer, requesting anonymity.<br><br>The 910-metre-long bridge had been planned in 1986 but could not be completed because of the reluctance of contractors, who feared Maoist attacks. After several failed attempts, the Rs 187.25-crore project had taken off in 2014 with two platoons of BSF standing guard at the site round the clock. Inaugurating the bridge on July 26, chief minister Naveen Patnaik called upon the rebels to give up violence and join the mainstream. “Violence is not the solution to anything. Peace is important for development,” he had said.<br><br>The region has been a Maoist stronghold since long. The rebels had ambushed and gunned down 32 elite Greyhound commandos of Andhra Pradesh police and a police constable in the Balimela reservoir while the jawans were returning from a combing operation in the “cut-off” area. The area had gained further notoriety in February 2011 when the Maoists abducted the then Malkangiri collector, R. Vineel Krishna, from the area.<br><br>Last year, the rebels had shot a boatman dead at the spillway ghat at Chitrakonda suspecting him to be a police informer. The Maoists, who had accused Shyam Pangi of ferrying food material for the BSF jawans deployed near the ghat, carried out the killing.<br><br>Malkangiri police superintendent Jagmohan Meena had trashed the allegations of the Maoists, asserting that the rebels were deliberately targeting poor people after branding them as “informers” to spread panic.</p>",War against Maoists stepped up
